travelCode,user_id,departure,arrival,flightType,flight_price,flight_duration,distance,agency,flight_date,hotel_name,hotel_place,days,hotel_base,total_hotel,check_in,company,user_name,gender,age,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,totalDistance,fuelPolicy,bookingStatus,total_rent_price,total_price
22,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,02/27/2020,Hotel Z,Aracaju (SE),2,208.04,416.08,02/27/2020,4You,Roy Braun,male,21,Johntown,Port Brian,Sedan,Sixt,3.0,285.0,Prepaid,Pending,3371.0,5001.9
45,0,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,08-06-2020,Hotel BD,Natal (RN),1,242.88,242.88,08-06-2020,4You,Roy Braun,male,21,Owensland,Ruizfort,Sedan,Enterprise,3.0,412.0,Full-to-Full,Pending,4652.0,5369.48
117,2,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,02/27/2020,Hotel AU,Recife (PE),2,312.83,625.66,02/27/2020,4You,Wilma Mcinnis,female,48,Edwardview,Katiefort,Sedan,Hertz,1.0,433.0,Partial,Confirmed,4728.0,5956.15
119,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,03-12-2020,Hotel K,Salvador (BH),2,263.41,526.82,03-12-2020,4You,Wilma Mcinnis,female,48,Moranborough,Lake Stephanie,Hatchback,Budget,3.0,421.0,Full-to-Full,Confirmed,3746.0,5996.53
153,2,Aracaju (SE),Campo Grande (MS),premium,1021.53,1.69,650.1,CloudFy,11-05-2020,Hotel BW,Campo Grande (MS),4,60.39,241.56,11-05-2020,4You,Wilma Mcinnis,female,48,Port Kathrynstad,East Ronnieberg,Sedan,Enterprise,5.0,100.0,Prepaid,Cancelled,1663.0,2926.09
255,3,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,04/16/2020,Hotel A,Florianopolis (SC),1,313.02,313.02,04/16/2020,4You,Paula Daniel,female,23,East Jenniferhaven,South Meghan,SUV,Sixt,4.0,249.0,Partial,Cancelled,3758.0,5570.95
283,3,Recife (PE),Sao Paulo (SP),premium,670.13,1.26,486.52,Rainbow,10/29/2020,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/29/2020,4You,Paula Daniel,female,23,Martinezberg,New Josephfort,Hatchback,Enterprise,3.0,309.0,Partial,Pending,2867.0,3676.23
305,3,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,04-01-2021,Hotel BD,Natal (RN),4,242.88,971.52,04-01-2021,4You,Paula Daniel,female,23,Brandistad,Lake Alexander,SUV,Enterprise,1.0,146.0,Full-to-Full,Cancelled,2273.0,3546.03
338,3,Brasilia (DF),Aracaju (SE),economic,721.2,1.11,425.98,Rainbow,11/18/2021,Hotel Z,Aracaju (SE),3,208.04,624.12,11/18/2021,4You,Paula Daniel,female,23,Gonzalezberg,West Margaret,Sedan,Enterprise,3.0,214.0,Partial,Confirmed,2679.0,4024.32
385,3,Recife (PE),Campo Grande (MS),economic,615.59,1.39,535.4,Rainbow,10/13/2022,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/13/2022,4You,Paula Daniel,female,23,North Caseyburgh,South Carrie,SUV,Hertz,1.0,260.0,Full-to-Full,Confirmed,3626.0,4362.37
